Action;Adventure;Animation;Comedy;Family;Fantasy;ScienceFiction;Thriller;Crime;Drama;Mystery;Music;Romance;Western;Foreign;History;War;Horror;Documentary;Adventure;Action;Animation;Comedy;Crime;Documentary;Drama;Family;Fantasy;Foreign;History;Horror;Music;Mystery;None;Romance;ScienceFiction;Thriller;TVMovie;War;Western;budget;originallanguage;popularity;releasedate;revenue;runtime;title;voteaverage;votecount
1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15000000;en;7.024227;1995;66000000;92;Mighty Morphin Power Rangers: The Movie;5,2;153
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;en;2.466066;1995;1;95;Mute Witness;6,4;36
0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22000000;en;13.304342;1995;110627965;114;The Net;5,6;359
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150000;en;1.165039;1995;472370;94;Party Girl;5,8;14
0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;en;10.187623;1995;16;98;The Prophecy;6,4;139
0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50000000;en;6.752119;1995;10382407;135;The Scarlet Letter;5,5;111
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45000000;en;17.502375;1995;20350754;128;Showgirls;4,9;261
0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7000000;en;5.552946;1995;8349430;112;Smoke;7,2;115
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;35000000;en;13.492845;1995;113374103;108;Species;5,5;457
0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42000000;en;11.223055;1995;7959291;145;Strange Days;6,8;334
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;14000000;en;1.820419;1995;5780000;99;The Tie That Binds;4,6;9
1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60000000;en;7.490247;1995;104324083;100;Under Siege 2: Dark Territory;5,6;217
0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20000000;en;9.715639;1995;50012507;103;A Walk in the Clouds;6,5;168
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175000000;en;16.885184;1995;264218220;135;Waterworld;5,9;1017
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2800000;ru;2.486073;1994;2616503;135;Burnt by the Sun;6,7;35
0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2500000;en;11.304979;1995;5535405;105;Before Sunrise;7,7;984
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000000;en;6.638116;1995;26488734;89;Billy Madison;6,2;464
0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21000000;en;3.030309;1995;23450000;115;Boys on the Side;6,3;48
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27000;en;10.513367;1994;3151130;92;Clerks;7,4;769
0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;25000000;en;7.438934;1994;22200000;97;Don Juan DeMarco;6,3;184
0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55000000;en;11.812244;1994;214015089;123;Disclosure;5,9;217
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16000000;en;9.844558;1994;247275374;107;Dumb and Dumber;6,5;1894
0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18000000;en;11.720358;1994;5887457;127;Ed Wood;7,3;639
